aweme_id,category,keyword,desc,author,author_unique_id,likes,comments,shares,plays,collects,duration_s,create_time,has_product_anchor,video_url,local_file
7648646902921186590,Factory,factory machines viral,🙀🤯 World's Most Unusual Energy Drink Factory Production  #viral #ai #fyp #trendingprocess #factoryprocess ,Mass and Methods,mass.and.methods,321361,7737,310266,23183015,51430,75,2026-06-07,False,https://www.tiktok.com/@mass.and.methods/video/7648646902921186590,videos/Factory/321361likes_7737cmt_7648646902921186590.mp4
7621269954192543009,Home,viral kitchen organization,KITCHEN FEATURES | Part 1 ✨ #kitchen #kitchendesign #kitchenorganization #organizer,Mo Ve,mo.ve1,321294,2499,59489,5660896,43086,61,2026-03-25,False,https://www.tiktok.com/@mo.ve1/video/7621269954192543009,videos/Home/321294likes_2499cmt_7621269954192543009.mp4
7598706156369939767,Electronics,viral led lights,I’m so happy I bought 2 because I love it!! Omg I didn’t even say the NAMEE it’s the Husky rechargeable LED detachable tripod light ,Arnell.armon,arnellarmon,320491,2117,32510,3122884,65459,66,2026-01-23,False,https://www.tiktok.com/@arnellarmon/video/7598706156369939767,videos/Electronics/320491likes_2117cmt_7598706156369939767.mp4
7612234229434387725,Outdoor,viral garden products,How to create a beautiful garden space and make the best use of discarded materials? Let AI do it for you. #DIY #lifehacks #design #amazing #garden ,bapbapbap,bapbapbap97,316344,2959,163337,10057778,114434,128,2026-03-01,False,https://www.tiktok.com/@bapbapbap97/video/7612234229434387725,videos/Outdoor/316344likes_2959cmt_7612234229434387725.mp4
7643735736197451016,Food,viral food products,My favorite summer desert 🍉🫰🏻 #watermelon #icecream #frozenfruits #asmr ,Anton Closmain,a.closmain,314544,2221,21089,5563935,44827,12,2026-05-25,False,https://www.tiktok.com/@a.closmain/video/7643735736197451016,videos/Food/314544likes_2221cmt_7643735736197451016.mp4
7614871448368188703,Fashion,viral leggings,Are these leggings too long? ,Emilysmith,emilysmith3434,314265,2747,100215,7484435,51482,38,2026-03-08,False,https://www.tiktok.com/@emilysmith3434/video/7614871448368188703,videos/Fashion/314265likes_2747cmt_7614871448368188703.mp4
7628186748610284822,Baby,viral baby gadgets,All-natural bath bombs for children are strangely satisfying #kids #luxury #bathbomb #toy #baby ,ViralClipsX,viralclipsx__,313837,2697,23352,18057975,33499,60,2026-04-13,False,https://www.tiktok.com/@viralclipsx__/video/7628186748610284822,videos/Baby/313837likes_2697cmt_7628186748610284822.mp4
7615795482018729247,Jewelry,viral claw clips,XXXXXXL claw clip 🤣 who needs this??? #thickhair #clawclip #clawcliphairstyles #longhair ,iamnancyjay,iamnancyjay,313768,2390,78751,6222668,19239,24,2026-03-11,False,https://www.tiktok.com/@iamnancyjay/video/7615795482018729247,videos/Jewelry/313768likes_2390cmt_7615795482018729247.mp4
7629048418987478285,Baby,newborn must haves viral,Another realistic night with my newborn 🐄🌙  #lifewithanewborn #postpartum #newbornlife #postpartumjourney #nightwithanewborn  Night routine with a newborn  Postpartum  Postpartum journey 12 days postpartum  Newborn night vlog  Realistic night with a newborn Fourth baby ,mandy_motherhood,mandy_motherhood,311270,4659,24616,4602526,18090,368,2026-04-15,False,https://www.tiktok.com/@mandy_motherhood/video/7629048418987478285,videos/Baby/311270likes_4659cmt_7629048418987478285.mp4
7571538316894407949,Fitness,viral water bottle,Bro they keep getting bigger and bigger #waterbottle #fypシ゚viral #hydrationstation #fy #consumerism ,arianna🩶🎀,ariannitaa_x,308254,3390,5339,2229939,5839,23,2025-11-11,False,https://www.tiktok.com/@ariannitaa_x/video/7571538316894407949,videos/Fitness/308254likes_3390cmt_7571538316894407949.mp4
7366947682398686510,Electronics,cool gadgets viral,Mini portable keyboards#keyboards #Tech #tiktokmakemebuyit #fyp #minikeyboard ,coolgadget.com,coolgadget_official,298857,6752,75756,15361689,78367,9,2024-05-09,False,https://www.tiktok.com/@coolgadget_official/video/7366947682398686510,videos/Electronics/298857likes_6752cmt_7366947682398686510.mp4
7642698822480629005,Baby,viral baby gadgets,"I have to keep this on my feed forever 🤣🩵 My son, I think you’re too big for the chair but I’m so happy you understand the function of this item! Being a BCBA has really opened my eyes and has made me realize how grateful and happy we should be when we see our children accomplish small milestones. The small milestones that may come naturally for your child doesn’t always come naturally for others. #grateful #momlife #babymilestones #toddlerlife #pretendplaytoys",Melissa,melissalopez.sahm,298681,3342,98079,5185591,11787,18,2026-05-22,False,https://www.tiktok.com/@melissalopez.sahm/video/7642698822480629005,videos/Baby/298681likes_3342cmt_7642698822480629005.mp4
7632479554174504223,Pets,dog products viral,"Harley tries dubai chocolate! 🍫  We went back to carob to try out this super viral snack and it did not disappoint. As an added bonus, Harley’s breath is VERY fresh now 😆  #snacktivity #dogenrichment #dogtreats #ckcs #spaniel",harley eats world,thestrollerdog,298101,2614,21902,3521641,24601,121,2026-04-24,False,https://www.tiktok.com/@thestrollerdog/video/7632479554174504223,videos/Pets/298101likes_2614cmt_7632479554174504223.mp4
7642415559090375967,Outdoor,viral pool finds,"DIY swimming pool, A little about our Pool/Pond #fyp #poolpond #pool #poolopening #DIY ",lleet6,lleet6,295202,3178,91014,4985543,59113,62,2026-05-21,False,https://www.tiktok.com/@lleet6/video/7642415559090375967,videos/Outdoor/295202likes_3178cmt_7642415559090375967.mp4
7642387009322962206,Food,tiktok shop snacks viral,Tiny Chocolate Snack #fyp #mukbang #review #mukbangasmr #chocolate ,zach.eatss,zach.eatss,294685,5111,34987,2878153,21393,106,2026-05-21,False,https://www.tiktok.com/@zach.eatss/video/7642387009322962206,videos/Food/294685likes_5111cmt_7642387009322962206.mp4
7635889423233584391,Outdoor,viral pool finds,🏊‍♂️ Forget the concrete pool! This setup takes only 15 mins. #SummerVibes #dropstitch ,kernel_ca_grace,kernel_ca_grace,294149,4360,30735,4886144,41195,29,2026-05-04,False,https://www.tiktok.com/@kernel_ca_grace/video/7635889423233584391,videos/Outdoor/294149likes_4360cmt_7635889423233584391.mp4
7626365085283257631,Baby,baby toys viral tiktok,Kids vs Toys.🤣🤣🤣#baby #babylove #babytiktok #foryou #funny #funnyvideo #viral #fypシ #usa🇺🇸 ,lovepets_001,lovepets_001,292853,9860,16290,23032216,60313,83,2026-04-08,False,https://www.tiktok.com/@lovepets_001/video/7626365085283257631,videos/Baby/292853likes_9860cmt_7626365085283257631.mp4
7611327025113992461,Baby,newborn must haves viral,I love being a girl mom🎀🥹🙏🏽#girlmom #firsttimemom #preemie #preemiebaby #baby ,rebeccaesquivell,rebeccaesquivell,291928,2633,17793,3535668,12078,62,2026-02-26,False,https://www.tiktok.com/@rebeccaesquivell/video/7611327025113992461,videos/Baby/291928likes_2633cmt_7611327025113992461.mp4
7436569867681107230,Electronics,viral projector tiktok,Hands down the coolest thing I’ve bought off Tiktok Shop!! 👏 ⭐️  #smartprojector #projector #projectorscreen #smarttvprojector #smarttv #portable #portableprojector #4kprojector #ledprojector #tiktokshopblackfriday #tiktokshopcybermonday #tv ,m i n d y 💕,mindymama4,286943,11414,144813,31269339,104340,113,2024-11-13,True,https://www.tiktok.com/@mindymama4/video/7436569867681107230,videos/Electronics/286943likes_11414cmt_7436569867681107230.mp4
7594561010086776095,Home,viral bedding tiktok,Luxury quality at luxury prices??? Noooooooooo #pigletinbed #bedding #notspon ,Atypicelle | 📚✍️,atypicelle,286569,3129,11454,2054910,26150,26,2026-01-12,False,https://www.tiktok.com/@atypicelle/video/7594561010086776095,videos/Home/286569likes_3129cmt_7594561010086776095.mp4
7594528879881080077,Fitness,viral water bottle,Do you know? #usa#americans#unitedstates#geography#doyouknow#LearnOnTikTok#viral#trending#fyp#states#cities#dirtiest#bottled#water#brands#theus,True Stories,usamap55,284746,7907,223448,7655692,51100,135,2026-01-12,False,https://www.tiktok.com/@usamap55/video/7594528879881080077,videos/Fitness/284746likes_7907cmt_7594528879881080077.mp4
7639358375230278926,Factory,production line satisfying,#asmr  #satisfying  #oddlysatisfying  #factory  #fpy ,Z.Tool,z.tool,282673,2477,14370,12457435,20609,61,2026-05-13,False,https://www.tiktok.com/@z.tool/video/7639358375230278926,videos/Factory/282673likes_2477cmt_7639358375230278926.mp4
7645340150427421985,Cleaning,viral cleaning products tiktok,cleaning your fyp 🎀🫧🎧 #nightroutine #SelfCare #girlythings #skincare #girly ,𝐨𝐥𝐚 ౨ৎ,olaaxdiary,282378,4359,6936,967471,31661,22,2026-05-29,False,https://www.tiktok.com/@olaaxdiary/video/7645340150427421985,videos/Cleaning/282378likes_4359cmt_7645340150427421985.mp4
7644570997701528863,Electronics,amazon tech finds,Totally random but so cool 😜 #amazonfinds ,lifemadesimple,lifemadesimple70,279071,2984,52276,4289953,26411,15,2026-05-27,False,https://www.tiktok.com/@lifemadesimple70/video/7644570997701528863,videos/Electronics/279071likes_2984cmt_7644570997701528863.mp4
7305096056495279403,Electronics,viral projector tiktok,I wont apologize tho 😩😩 #projector #netflix #tiktokmademebuyit #yourpage #cosyprojector #viralproducts #christmas #blackfriday #homecinema ,Cosy Projector ✨,mycosyprojector,276603,2271,75425,8242129,64027,19,2023-11-24,False,https://www.tiktok.com/@mycosyprojector/video/7305096056495279403,videos/Electronics/276603likes_2271cmt_7305096056495279403.mp4
7319290888989986094,Electronics,viral led lights,Replying to @Soll🏮 The BEST RGB LED strips.. #carterpcs #Tech #techtok #rgb #led #ledstrip  ,Carterpcs,carterpcs,276516,2008,2299,4704057,70985,45,2024-01-02,True,https://www.tiktok.com/@carterpcs/video/7319290888989986094,videos/Electronics/276516likes_2008cmt_7319290888989986094.mp4
7542229703646547231,Fitness,viral water bottle,i’ll stick to water in it thx 😓 #waterbottle #comewithme #owala #pov ,kaitlynd!,reddnea,270381,2082,3748,3994549,11431,77,2025-08-24,False,https://www.tiktok.com/@reddnea/video/7542229703646547231,videos/Fitness/270381likes_2082cmt_7542229703646547231.mp4
7637186594922958093,Home,viral home gadgets,Ultra-Sharp Grater #gadgets #amazon #fyp #amazonmusthaves #Home,Justice Buy,tkjusticebuy,268915,6508,95814,24060186,35086,11,2026-05-07,False,https://www.tiktok.com/@tkjusticebuy/video/7637186594922958093,videos/Home/268915likes_6508cmt_7637186594922958093.mp4
7352843314091248942,Factory,manufacturing process viral,Making of Matchbox in Mega Factory #matchbox #making #factory #Process #work #manufacturing #viral #foryoupage #foryou #fyp ,LEARN TV,avtcartoon,268702,2307,21876,14696398,22029,275,2024-04-01,False,https://www.tiktok.com/@avtcartoon/video/7352843314091248942,videos/Factory/268702likes_2307cmt_7352843314091248942.mp4
7644599425863535904,Fashion,viral jeans tiktok,Skinny or baggy jeans? 👖 | Which jeans would you wear? | Save for later  #mensfashion #style ,Noah Altink,noahaltink,267744,2141,9275,8338386,40359,14,2026-05-27,False,https://www.tiktok.com/@noahaltink/video/7644599425863535904,videos/Fashion/267744likes_2141cmt_7644599425863535904.mp4
7599090515946065182,Fitness,viral water bottle,#watertok💧 #watertok #flavoredwater #fypシ゚viral #fypage ,Jackietwright9692,jackie.t.wright,266355,3301,41122,5962213,8643,122,2026-01-25,False,https://www.tiktok.com/@jackie.t.wright/video/7599090515946065182,videos/Fitness/266355likes_3301cmt_7599090515946065182.mp4
7647795776713723166,Home,viral home gadgets,Oddly satisfying or just me? #oddlysatisfying #satisfying #kitchengadgets #weirdfinds #amazonfinds,A Doll’s Home,adollshome,266219,2197,15310,5415899,6169,28,2026-06-05,False,https://www.tiktok.com/@adollshome/video/7647795776713723166,videos/Home/266219likes_2197cmt_7647795776713723166.mp4
7575875584430181653,Pets,viral pet products tiktok shop,"5 of the best Pet Hair Rollers available on the Tiktok shop, Chom Chom pet hair roller showdown. Great gift for pet lovers. FOLLOW @om mohammed  #tiktokmademebuyit #pethairremoval #creatorsearchinsights2025 #giftsforpetlover #giftshop ",Mark Dedaj,oneeggisanoeuf,265435,26761,102336,793970,32269,59,2025-11-23,False,https://www.tiktok.com/@oneeggisanoeuf/video/7575875584430181653,videos/Pets/265435likes_26761cmt_7575875584430181653.mp4
7644422503963561247,Misc,dupes viral tiktok,wow and 3 vids per sample! be prepared for my content for the next month #freesample #tiktokshopaffiliate #influencer #relatable #viralvideo ,nikki,nikkithehiddenmickey,263687,2748,841,1580094,9262,6,2026-05-27,False,https://www.tiktok.com/@nikkithehiddenmickey/video/7644422503963561247,videos/Misc/263687likes_2748cmt_7644422503963561247.mp4
6960961426978639106,Factory,toy factory viral,#toyfactory #foryou #factorywork #factoryjob #toys #child #factory #entrepreneurship #boss #recruitment,phtktoys3,phtktoys3,258070,2300,2102,4996595,4637,12,2021-05-11,False,https://www.tiktok.com/@phtktoys3/video/6960961426978639106,videos/Factory/258070likes_2300cmt_6960961426978639106.mp4
7417380557551734062,Factory,manufacturing process viral,How to Record and Mass-Produce Songs on Vinyl Records #process #processvideo #making #manufacturing #production #massproduction #factory #factorywork #viral #fyp #trending,All Process of World,apowofficial,257761,2353,9185,6024037,23549,397,2024-09-22,False,https://www.tiktok.com/@apowofficial/video/7417380557551734062,videos/Factory/257761likes_2353cmt_7417380557551734062.mp4
7621608228304227614,Kitchen,viral kitchen gadgets,look at the QUALITY STANLEY!!! #kitchen #gadgets #Foodie ,Dirt Monkey,dirtmonkeyforce,252601,2702,22748,3888747,30441,133,2026-03-26,False,https://www.tiktok.com/@dirtmonkeyforce/video/7621608228304227614,videos/Kitchen/252601likes_2702cmt_7621608228304227614.mp4
7617010660072901910,Electronics,viral led lights,So amazing window!but it’s just a lamp#yuersky #yuerskylight #yuerskywindow #artificialskylight #artificialsky #EngineeringLighting #ledlight #ledlighting #ledlamp #skylight #Yuerskywindow ,Yuersky,yuerskylight.uk,252247,2419,25054,5656082,39317,14,2026-03-14,False,https://www.tiktok.com/@yuerskylight.uk/video/7617010660072901910,videos/Electronics/252247likes_2419cmt_7617010660072901910.mp4
7604881344656657694,Car,viral car accessories tiktok shop,Everyone in your family should have one of these in their car #fyp #tiktokshop #jumpstarter #portablejumpstarter #tiktokshopcreatorpicks ,Aidan’s Finds,tiktokshopdeals4you,249099,2871,8530,19829481,42527,119,2026-02-09,True,https://www.tiktok.com/@tiktokshopdeals4you/video/7604881344656657694,videos/Car/249099likes_2871cmt_7604881344656657694.mp4
7602712520289291550,Kitchen,tiktok shop kitchen finds,Why are you cutting your food on PLASTIC?! 😷 Switch to Stainless Steel! 👏 #PlasticFree #CuttingBoard #StainlessSteelCuttingBoard #KitchenEssentials #TikTokShopCreatorPicks ,SHARP AF,sharpafedc,248391,8488,59032,30025485,36993,41,2026-02-03,True,https://www.tiktok.com/@sharpafedc/video/7602712520289291550,videos/Kitchen/248391likes_8488cmt_7602712520289291550.mp4
7642658196682771726,Hair,viral wig tiktok,😍🔥‼️‼️ #gastylist #beana #beecute #wigtransformation #viralvideo @tls.yoggie. ,💋BeeCute💋,beanaaaaaaa,245947,2875,29851,1637673,24597,6,2026-05-22,True,https://www.tiktok.com/@beanaaaaaaa/video/7642658196682771726,videos/Hair/245947likes_2875cmt_7642658196682771726.mp4
7555503874681965854,Electronics,viral led lights,Spin. Shine. Stun! ⚡🔄 This 6-arm rotating light creates mesmerizing patterns for parties or decor. #rotatinglight #ledlamp #partylights #tiktokmademebuyit#fyp,Good Stuff Diary,goodstuffdiary,245846,6573,36025,15444893,30030,15,2025-09-29,False,https://www.tiktok.com/@goodstuffdiary/video/7555503874681965854,videos/Electronics/245846likes_6573cmt_7555503874681965854.mp4
7610244435347000589,Hair,hair straightener viral,heatless straightening hair tutorial! #heatlessstraightening #fyp #hair #viral #trending ,vasilisa,vasilisa_yanis,243654,2108,21032,2689794,123492,236,2026-02-24,False,https://www.tiktok.com/@vasilisa_yanis/video/7610244435347000589,videos/Hair/243654likes_2108cmt_7610244435347000589.mp4
